RefId,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy
11,2006,4,CHRYSLER,300,Bas,4D SEDAN,BLACK,AUTO,Covers,62230,AMERICAN,SPECIALTY,CHRYSLER,9090.0,10656.0,13016.0,14681.0,10119.0,11611.0,14134.0,15616.0,33619,10100.0,No,1215,No
12,2002,8,OLDSMOBILE,ALERO 4C,GL,4D SEDAN GL1,BROWN,AUTO,Covers,77233,AMERICAN,MEDIUM,GM,2072.0,2862.0,5511.0,7612.0,2099.0,3193.0,4617.0,5559.0,33619,4600.0,No,1806,No
13,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 3.7L,RED,AUTO,Alloy,59391,AMERICAN,LARGE TRUCK,CHRYSLER,4526.0,5582.0,8143.0,9500.0,4446.0,5621.0,7944.0,9710.0,33619,7600.0,No,505,No
14,2007,3,KIA,OPTIMA 4C,EX,4D SEDAN,SILVER,AUTO,Covers,68165,OTHER ASIAN,MEDIUM,OTHER,7151.0,7576.0,10339.0,10720.0,6603.0,8038.0,10146.0,11314.0,33619,7300.0,No,728,No
15,2002,8,FORD,RANGER PICKUP 2WD V6,Other,2D EXT CAB 3.0L EDGE,YELLOW,MANUAL,Alloy,75484,AMERICAN,SMALL TRUCK,FORD,4661.0,5666.0,7917.0,9071.0,4871.0,6061.0,8005.0,9312.0,33619,7100.0,No,869,No
16,2005,5,FORD,TAURUS,SEL,4D SEDAN SEL FFV,SILVER,AUTO,Alloy,66695,AMERICAN,MEDIUM,FORD,4668.0,5538.0,7714.0,8713.0,3566.0,4775.0,6591.0,8258.0,33619,6000.0,No,825,No
17,2006,4,FORD,FOCUS,ZX4,4D SEDAN ZX4 SE,RED,AUTO,Alloy,88832,AMERICAN,COMPACT,FORD,5241.0,6547.0,8582.0,9440.0,5218.0,6367.0,8921.0,9971.0,33619,5800.0,No,1243,No
18,2007,3,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,SILVER,AUTO,Alloy,58384,AMERICAN,LARGE,GM,8186.0,9635.0,11287.0,12886.0,7785.0,9492.0,11285.0,13220.0,33619,8300.0,No,1500,No
19,2004,6,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,BLUE,AUTO,Alloy,80906,AMERICAN,LARGE SUV,FORD,8817.0,10563.0,12228.0,13965.0,8091.0,9707.0,11643.0,13460.0,33619,9500.0,No,1113,No
20,2005,5,MAZDA,MAZDA3,s,5D SEDAN GS,SILVER,MANUAL,Alloy,75108,OTHER ASIAN,MEDIUM,OTHER,6264.0,7477.0,9640.0,10930.0,5535.0,7532.0,9343.0,10966.0,33619,7400.0,No,1038,No
21,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,GREEN,AUTO,Alloy,73870,AMERICAN,MEDIUM,CHRYSLER,5116.0,6138.0,7862.0,9432.0,4820.0,5937.0,8082.0,9233.0,33619,5500.0,No,1155,No
22,2005,5,CHEVROLET,COBALT,Bas,4D SEDAN,BLACK,AUTO,Alloy,69430,AMERICAN,COMPACT,GM,4481.0,5568.0,7335.0,8281.0,4009.0,5044.0,6971.0,8771.0,33619,5600.0,No,728,Yes
23,2005,5,CHEVROLET,COBALT,Bas,4D SEDAN,GOLD,AUTO,Covers,75101,AMERICAN,COMPACT,GM,4245.0,5299.0,7010.0,8183.0,4224.0,5207.0,7590.0,8399.0,33619,5135.0,No,803,No
24,2005,5,CHRYSLER,PACIFICA FWD,Tou,4D SPORT TOURING,SILVER,AUTO,Alloy,85334,AMERICAN,CROSSOVER,CHRYSLER,7592.0,9194.0,10292.0,13662.0,7228.0,8967.0,10679.0,12522.0,33619,8335.0,No,1503,No
25,2002,8,PONTIAC,SUNFIRE,SE,2D COUPE SE,WHITE,AUTO,Covers,93395,AMERICAN,COMPACT,GM,2773.0,3768.0,4988.0,5905.0,2562.0,3583.0,4576.0,5709.0,33619,3100.0,No,1641,No
26,2006,4,SUZUKI,FORENZA,Other,4D SEDAN,GOLD,MANUAL,Covers,53463,OTHER ASIAN,MEDIUM,OTHER,4169.0,5138.0,7564.0,8488.0,3789.0,4903.0,7148.0,8730.0,33619,4300.0,No,505,No
27,2005,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,RED,MANUAL,Covers,73516,AMERICAN,COMPACT,FORD,3656.0,4485.0,6635.0,7420.0,3612.0,4711.0,6925.0,7961.0,33619,5500.0,No,1155,No
28,2006,4,CHRYSLER,PT CRUISER,Bas,4D SEDAN,RED,AUTO,Covers,66568,AMERICAN,MEDIUM,CHRYSLER,5108.0,6069.0,8483.0,9557.0,4775.0,5796.0,8667.0,9390.0,33619,6150.0,No,1215,Yes
29,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,Covers,88528,AMERICAN,LARGE,GM,7814.0,9358.0,11185.0,12745.0,7370.0,8840.0,11066.0,12664.0,33619,6800.0,No,2152,No
30,2004,6,TOYOTA,COROLLA,Other,4D SEDAN CE,SILVER,AUTO,Covers,74697,TOP LINE ASIAN,COMPACT,OTHER,4876.0,5748.0,8033.0,9497.0,4584.0,5345.0,6997.0,8242.0,33619,6800.0,No,569,No
31,2005,5,MERCURY,SABLE,GS,4D SEDAN GS,SILVER,AUTO,Covers,41513,AMERICAN,MEDIUM,FORD,3922.0,4860.0,7481.0,8693.0,3043.0,4075.0,5550.0,6898.0,33619,5150.0,No,693,No
32,2004,6,FORD,EXPEDITION 2WD V8,XLS,4D SUV 4.6L XLS,RED,AUTO,Alloy,92482,AMERICAN,LARGE SUV,FORD,7065.0,8576.0,10555.0,12937.0,7505.0,8825.0,11123.0,12386.0,33619,8100.0,No,1197,No
33,2003,7,HYUNDAI,ELANTRA,GLS,4D SEDAN,BEIGE,AUTO,Covers,82444,OTHER ASIAN,MEDIUM,OTHER,2152.0,3065.0,4673.0,5867.0,2837.0,3745.0,5383.0,6294.0,33619,3700.0,No,894,No
34,2006,4,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,BLUE,AUTO,Covers,97593,OTHER ASIAN,MEDIUM,OTHER,6060.0,7545.0,8988.0,10357.0,5545.0,6764.0,8949.0,10010.0,33619,6050.0,No,620,No
35,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,GREY,AUTO,Covers,54696,AMERICAN,MEDIUM,CHRYSLER,7646.0,8799.0,11607.0,12875.0,7627.0,8618.0,10734.0,12074.0,33619,8800.0,No,920,No
36,2004,6,MITSUBISHI,ENDEAVOR AWD,LS,4D SPORT UTILITY LS,SILVER,AUTO,Alloy,75878,OTHER ASIAN,MEDIUM SUV,OTHER,5584.0,6689.0,9409.0,10470.0,5526.0,7061.0,8850.0,10567.0,33619,7200.0,No,920,No
37,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,Covers,87839,AMERICAN,COMPACT,GM,4529.0,5607.0,7233.0,8483.0,4698.0,5835.0,7597.0,8838.0,33619,5000.0,No,853,No
38,2007,3,CHRYSLER,300,Bas,4D SEDAN,WHITE,AUTO,Covers,66750,AMERICAN,SPECIALTY,CHRYSLER,9899.0,11476.0,14193.0,15739.0,10244.0,11923.0,14403.0,15902.0,33619,9500.0,No,1215,No
39,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,BLUE,AUTO,Covers,84747,AMERICAN,MEDIUM,GM,5906.0,7176.0,9925.0,11271.0,6415.0,7923.0,9487.0,11454.0,33619,7250.0,No,1373,No
40,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,WHITE,AUTO,Alloy,67795,AMERICAN,MEDIUM,CHRYSLER,4324.0,5305.0,7702.0,8793.0,4725.0,6114.0,7608.0,9225.0,33619,5900.0,No,1020,No
41,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.9L,GOLD,AUTO,Alloy,54790,AMERICAN,LARGE,GM,5998.0,7477.0,9119.0,11266.0,6647.0,8000.0,9419.0,11204.0,33619,7800.0,No,1500,No
42,2005,5,KIA,SPECTRA,EX,4D SEDAN EX,MAROON,AUTO,Covers,25830,OTHER ASIAN,MEDIUM,OTHER,3384.0,4491.0,6170.0,8136.0,3638.0,4681.0,6560.0,7436.0,33619,6050.0,No,462,No
43,2008,2,FORD,F150 PICKUP 2WD V8,XL,EXT CAB 4.6L FX2 SPORT,GREY,AUTO,Alloy,82010,AMERICAN,LARGE TRUCK,FORD,17110.0,18927.0,21858.0,23457.0,16043.0,18461.0,20551.0,22416.0,33619,9100.0,No,853,No
44,2005,4,FORD,MUSTANG V6 4.0L V6 E,Bas,2D COUPE,BLUE,AUTO,Alloy,73576,AMERICAN,SPORTS,FORD,8780.0,10177.0,9982.0,11491.0,7870.0,9315.0,9000.0,10560.0,20166,9005.0,No,803,No
45,2007,2,DODGE,CHARGER V6 2.7L V6 M,Bas,4D SEDAN 2.7L,SILVER,AUTO,Alloy,47662,AMERICAN,SPECIALTY,CHRYSLER,9846.0,11346.0,11134.0,12754.0,10310.0,11882.0,11635.0,13333.0,20166,10315.0,No,975,No
46,2004,5,HYUNDAI,SONATA V6 2.7L V6 MP,GLS,4D SEDAN,GREY,AUTO,Alloy,73731,OTHER ASIAN,MEDIUM,OTHER,3501.0,4869.0,4281.0,5759.0,3456.0,4636.0,4232.0,5507.0,20166,5275.0,No,803,Yes
47,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,GREY,AUTO,Covers,63761,AMERICAN,LARGE,GM,6821.0,8172.0,7867.0,9326.0,7203.0,8521.0,8279.0,9703.0,20166,7185.0,No,1703,No
48,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,GREEN,AUTO,Alloy,88176,AMERICAN,MEDIUM SUV,GM,5524.0,6643.0,6466.0,7674.0,5554.0,6732.0,6498.0,7771.0,20166,5775.0,No,2452,Yes
49,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,BLACK,AUTO,Alloy,70788,AMERICAN,MEDIUM SUV,GM,5524.0,6643.0,6466.0,7674.0,5419.0,6794.0,6353.0,7838.0,20166,6985.0,No,2274,Yes
50,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,GREY,AUTO,Alloy,49794,AMERICAN,MEDIUM,CHRYSLER,4372.0,5578.0,5222.0,6524.0,4837.0,6319.0,5724.0,7325.0,20166,5875.0,No,834,No
51,2007,2,HYUNDAI,SONATA V6 3.3L V6 MP,Lim,4D SEDAN,BLUE,AUTO,Alloy,66578,OTHER ASIAN,MEDIUM,OTHER,9790.0,11349.0,11073.0,12757.0,9731.0,11403.0,11009.0,12815.0,20166,7795.0,No,728,Yes
52,2004,5,HYUNDAI,ELANTRA 2.0L I4 MPI,GLS,4D SEDAN,RED,AUTO,Covers,81862,OTHER ASIAN,MEDIUM,OTHER,3652.0,4714.0,4444.0,5591.0,3408.0,4456.0,4181.0,5312.0,20166,4040.0,No,594,Yes
53,2004,5,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,SILVER,AUTO,Covers,73693,AMERICAN,MEDIUM,CHRYSLER,2761.0,3901.0,3482.0,4713.0,2587.0,3570.0,3294.0,4356.0,20166,4865.0,No,1155,Yes
54,2003,6,NISSAN,SENTRA 2.5L I-4 EFI,Other,4D SEDAN SE-R,YELLOW,AUTO,Alloy,78106,TOP LINE ASIAN,COMPACT,OTHER,3364.0,4243.0,4133.0,5082.0,3252.0,3993.0,6398.0,7450.0,20166,5995.0,No,1220,No
55,2004,5,DODGE,DURANGO 4WD V8 5.7L,SLT,4D SUV 5.7L SLT,WHITE,AUTO,Alloy,64436,AMERICAN,MEDIUM SUV,CHRYSLER,8989.0,10810.0,10208.0,12175.0,7407.0,8915.0,11416.0,12794.0,20166,10715.0,No,1411,No
56,2007,2,HYUNDAI,SONATA 4C 2.4L I4 MP,GLS,4D SEDAN,BLACK,AUTO,Covers,72668,OTHER ASIAN,MEDIUM,OTHER,9725.0,10770.0,11003.0,12132.0,9725.0,10770.0,11003.0,12132.0,20166,6985.0,No,803,Yes
57,2007,2,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN,SILVER,AUTO,Covers,53163,AMERICAN,MEDIUM,CHRYSLER,5962.0,6833.0,6939.0,7880.0,5471.0,6404.0,6409.0,7416.0,20166,6345.0,No,1086,No
58,2007,3,SUZUKI,FORENZA,Other,4D SEDAN,RED,MANUAL,Covers,78619,OTHER ASIAN,MEDIUM,OTHER,5370.0,6204.0,8806.0,10017.0,5140.0,6024.0,8511.0,9538.0,20166,4480.0,No,569,No
59,2008,2,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,Covers,85364,AMERICAN,COMPACT,GM,7496.0,8087.0,10844.0,11416.0,6669.0,7185.0,9995.0,10483.0,20166,6000.0,No,853,No
60,2004,6,HONDA,ACCORD 4C,EX,4D SEDAN EX AUTO,GREEN,AUTO,Alloy,83703,TOP LINE ASIAN,MEDIUM,OTHER,8097.0,9256.0,11011.0,11834.0,7967.0,8889.0,11777.0,13140.0,20166,10125.0,No,594,No
61,2005,5,CHRYSLER,PACIFICA FWD,Bas,4D SPORT,SILVER,AUTO,Alloy,63774,AMERICAN,CROSSOVER,CHRYSLER,7478.0,8667.0,10417.0,11728.0,6659.0,8171.0,9948.0,11431.0,20166,8425.0,No,1215,No
62,2003,7,FORD,WINDSTAR FWD V6,SEL,4D PASSENGER 3.8L SEL,GREEN,AUTO,Alloy,97399,AMERICAN,VAN,FORD,3997.0,5125.0,7149.0,8154.0,3968.0,5413.0,7545.0,9959.0,20166,4680.0,No,2506,No
63,2006,4,MITSUBISHI,LANCER,ES,4D SEDAN ES,RED,AUTO,Covers,80135,OTHER ASIAN,COMPACT,OTHER,4991.0,6520.0,8047.0,9843.0,5355.0,6714.0,8798.0,10332.0,20166,4990.0,No,594,No
64,2005,5,CHRYSLER,PT CRUISER,Bas,4D SEDAN,GOLD,AUTO,Covers,52257,AMERICAN,MEDIUM,CHRYSLER,4063.0,5216.0,7574.0,8756.0,3490.0,4500.0,7219.0,8099.0,20166,5700.0,No,1086,No
65,2004,6,HONDA,ACCORD V6,EX,2D COUPE EX AUTO,WHITE,AUTO,Alloy,83292,TOP LINE ASIAN,MEDIUM,OTHER,7034.0,8699.0,10674.0,12210.0,6452.0,7953.0,10612.0,11842.0,20166,8290.0,No,1243,Yes
66,2004,6,MINI,COOPER,Bas,2D COUPE,YELLOW,AUTO,Alloy,81188,OTHER,COMPACT,OTHER,8329.0,9794.0,11857.0,13597.0,8266.0,9572.0,11722.0,12671.0,20166,7580.0,No,3265,No
67,2005,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,Alloy,75399,AMERICAN,COMPACT,CHRYSLER,2935.0,3841.0,6245.0,7138.0,3011.0,4031.0,5759.0,6770.0,20166,4805.0,No,686,Yes
68,2005,5,FORD,FREESTAR FWD V6,S,PASSENGER 3.9L,GOLD,AUTO,Covers,71094,AMERICAN,VAN,FORD,4178.0,5662.0,8231.0,9554.0,5131.0,6345.0,8925.0,10234.0,20166,5270.0,No,1506,No
69,2006,4,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 3.7L,BLUE,AUTO,Alloy,65259,AMERICAN,LARGE TRUCK,CHRYSLER,9835.0,12042.0,14462.0,16830.0,8499.0,10698.0,12696.0,14652.0,20166,11740.0,No,533,No
70,2004,6,CHEVROLET,TRAILBLAZER EXT 4WD,Nor,4D SUV 4.2L LS,MAROON,AUTO,Alloy,83285,AMERICAN,MEDIUM SUV,GM,6966.0,8773.0,10984.0,12868.0,5823.0,7326.0,9752.0,11319.0,20166,9030.0,No,2152,No
71,2003,7,NISSAN,MAXIMA,Other,4D SEDAN GXE,WHITE,AUTO,Alloy,97543,TOP LINE ASIAN,LARGE,OTHER,4849.0,5978.0,8592.0,9824.0,4986.0,6189.0,8334.0,9453.0,20166,5990.0,No,1641,No
72,2007,3,HYUNDAI,ACCENT,GS,2D COUPE GS,BLUE,AUTO,Covers,56391,OTHER ASIAN,COMPACT,OTHER,4861.0,5864.0,8265.0,8942.0,3905.0,5091.0,7387.0,8835.0,20166,5490.0,No,754,No
73,2003,7,FORD,EXPLORER 4WD V6,XLT,4D SUV 4.0L FFV XLT,SILVER,AUTO,Alloy,81155,AMERICAN,MEDIUM SUV,FORD,5059.0,6445.0,8819.0,10220.0,5150.0,6518.0,8779.0,10001.0,20166,7320.0,No,2193,No
74,2007,3,CHRYSLER,SEBRING 4C,Tou,4D SEDAN TOURING,GREY,AUTO,Alloy,57103,AMERICAN,MEDIUM,CHRYSLER,8059.0,9166.0,12213.0,13256.0,7303.0,8845.0,10669.0,12429.0,20166,6960.0,No,920,No
75,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,BLACK,AUTO,Covers,74214,AMERICAN,SPECIALTY,CHRYSLER,10232.0,11433.0,14163.0,15522.0,10054.0,11360.0,14002.0,15390.0,20166,8930.0,No,1389,No
76,2008,2,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,Covers,51764,AMERICAN,MEDIUM,CHRYSLER,7621.0,8574.0,11642.0,12466.0,7394.0,8561.0,11399.0,12675.0,20166,6760.0,No,754,No
77,2005,5,DODGE,NEON,SXT,4D SEDAN,MAROON,AUTO,Alloy,67375,AMERICAN,COMPACT,CHRYSLER,3345.0,4367.0,6287.0,7755.0,3067.0,4147.0,6365.0,7592.0,20166,5750.0,No,630,No
78,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,Covers,70819,AMERICAN,LARGE,GM,7571.0,8806.0,10692.0,11995.0,8440.0,9842.0,11617.0,13154.0,20166,8450.0,No,1974,No
79,2005,5,TOYOTA,COROLLA,Other,4D SEDAN CE,GREY,AUTO,Covers,86497,TOP LINE ASIAN,COMPACT,OTHER,5627.0,6601.0,8687.0,9932.0,5805.0,6659.0,9040.0,10025.0,20166,7370.0,No,594,No
80,2005,5,MITSUBISHI,GALANT V6,LS,4D SEDAN ES,SILVER,AUTO,Covers,58482,OTHER ASIAN,MEDIUM,OTHER,6267.0,7957.0,9737.0,11177.0,6190.0,7165.0,9441.0,10534.0,20166,7460.0,No,671,No
81,2007,2,KIA,SPECTRA 2.0L I4 EFI,EX,4D SEDAN EX,WHITE,AUTO,Covers,48895,OTHER ASIAN,MEDIUM,OTHER,4264.0,5332.0,5105.0,6259.0,4455.0,5326.0,5311.0,6252.0,50111,6010.0,No,482,No
82,2004,5,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,SILVER,AUTO,Covers,90938,AMERICAN,MEDIUM,CHRYSLER,2766.0,3805.0,3487.0,4609.0,2681.0,3891.0,3395.0,4702.0,50111,3900.0,No,1341,No
83,2006,3,DODGE,MAGNUM V6 3.5L V6 MP,SE,WAGON 3.5L SXT,WHITE,AUTO,Alloy,73628,AMERICAN,SPECIALTY,CHRYSLER,8669.0,10525.0,9863.0,11867.0,8054.0,9651.0,9198.0,10923.0,50111,8725.0,No,1389,No
84,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,BLUE,AUTO,Covers,81872,AMERICAN,LARGE,GM,4404.0,5807.0,5256.0,6772.0,3781.0,4945.0,7110.0,8638.0,50111,5290.0,No,2152,No
85,2004,5,SATURN,ION 2.0L I4 MPI,3,2D QUAD COUPE LEVEL 3,BLACK,MANUAL,Alloy,73730,AMERICAN,MEDIUM,GM,4767.0,6336.0,5648.0,7343.0,4304.0,5644.0,7229.0,8683.0,50111,4905.0,No,1038,No
86,2006,3,FORD,TAURUS 3.0L V6 EFI /,SEL,4D SEDAN SEL,SILVER,AUTO,Alloy,78697,AMERICAN,MEDIUM,FORD,5363.0,6720.0,6292.0,7758.0,5330.0,6563.0,8779.0,10200.0,50111,5310.0,No,920,No
87,2007,2,KIA,RONDO V6,EX,4D WAGON,BLACK,AUTO,Alloy,66256,OTHER ASIAN,CROSSOVER,OTHER,7609.0,8445.0,11818.0,12996.0,7873.0,9454.0,11560.0,13297.0,50111,8335.0,Yes,728,No
88,2006,3,CHEVROLET,HHR,LT,4D SUV 2.2L LS,BLACK,AUTO,Alloy,60442,AMERICAN,MEDIUM,GM,5693.0,6842.0,9586.0,11299.0,5906.0,7043.0,9398.0,10850.0,50111,6725.0,Yes,728,No
89,2007,2,SUBARU,FORESTER AWD,Other,4D SPORT UTILITY 2.5X,SILVER,AUTO,Covers,90667,OTHER ASIAN,SMALL SUV,OTHER,11490.0,14326.0,14773.0,17390.0,12162.0,14067.0,15269.0,17312.0,50111,9535.0,Yes,909,No
90,2004,6,SATURN,ION,2,4D SEDAN LEVEL 2,SILVER,AUTO,Covers,79107,AMERICAN,MEDIUM,GM,3400.0,4411.0,6576.0,7853.0,3747.0,4766.0,6624.0,7730.0,50111,4515.0,Yes,803,No
91,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLACK,AUTO,Covers,59007,AMERICAN,MEDIUM,CHRYSLER,5488.0,6691.0,8878.0,10074.0,6151.0,7088.0,9363.0,10355.0,50111,5920.0,Yes,1086,No
92,2005,5,FORD,FIVE HUNDRED,Lim,4D SEDAN LIMITED,GOLD,AUTO,Alloy,65614,AMERICAN,LARGE,FORD,6944.0,8643.0,10970.0,12877.0,6944.0,8643.0,10970.0,12877.0,50111,7725.0,No,1313,Yes
93,2004,6,FORD,EXPLORER 4WD V6,XLT,4D SUV 4.0L FFV XLT,BLACK,AUTO,Alloy,69119,AMERICAN,MEDIUM SUV,FORD,6849.0,8281.0,10419.0,11980.0,6488.0,8084.0,10077.0,11692.0,50111,9735.0,Yes,1508,No
94,2006,4,SUZUKI,FORENZA,Other,4D SEDAN,BLACK,AUTO,Alloy,75822,OTHER ASIAN,MEDIUM,OTHER,4033.0,4912.0,6979.0,7885.0,3773.0,4637.0,7244.0,8162.0,50111,4795.0,Yes,569,Yes
95,2007,3,TOYOTA,YARIS,Bas,4D SEDAN,WHITE,MANUAL,Covers,74161,TOP LINE ASIAN,COMPACT,OTHER,7192.0,8036.0,10431.0,11546.0,6906.0,7900.0,10607.0,11679.0,50111,6120.0,Yes,569,No
96,2004,6,HONDA,ACCORD 4C,LX,4D SEDAN LX AUTO,BLUE,AUTO,Covers,79110,TOP LINE ASIAN,MEDIUM,OTHER,6988.0,7732.0,10001.0,10879.0,6623.0,7735.0,10099.0,11270.0,50111,8335.0,Yes,569,No
97,2006,4,FORD,ESCAPE 2WD 4C,XLS,4D CUV 2.3L XLS,BLACK,AUTO,Alloy,63765,AMERICAN,SMALL SUV,FORD,6774.0,8471.0,10483.0,12167.0,6857.0,8631.0,9537.0,12583.0,50111,7525.0,Yes,825,No
98,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,WHITE,AUTO,Alloy,60700,AMERICAN,SPECIALTY,CHRYSLER,11601.0,12521.0,15597.0,16350.0,11563.0,12605.0,15913.0,16460.0,50111,10570.0,Yes,1215,No
99,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,Covers,80674,AMERICAN,MEDIUM,CHRYSLER,3549.0,4543.0,7027.0,8995.0,3666.0,4691.0,6807.0,8157.0,50111,5430.0,Yes,1503,Yes
100,2006,4,KIA,SPORTAGE 2WD 4C,LX,4D SPORT UTILITY LX,BLUE,AUTO,Alloy,82231,OTHER ASIAN,SMALL SUV,OTHER,7246.0,8327.0,10576.0,11767.0,7412.0,9010.0,11076.0,14159.0,50111,7335.0,Yes,983,No
101,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,Covers,72373,TOP LINE ASIAN,MEDIUM,OTHER,8394.0,10232.0,12277.0,13674.0,8135.0,9652.0,11526.0,12685.0,50111,8035.0,Yes,686,Yes
102,2005,5,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,GREY,AUTO,Covers,74743,AMERICAN,COMPACT,GM,3048.0,3994.0,5938.0,6721.0,2606.0,3477.0,5788.0,6771.0,50111,5125.0,Yes,1155,No
103,2006,4,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,Alloy,72988,AMERICAN,MEDIUM,CHRYSLER,4795.0,6006.0,8128.0,9114.0,4343.0,5732.0,8058.0,9328.0,50111,5330.0,Yes,1155,No
